Art Work	Fidel en el central Australia, comandancia	Milicianos junto a guagua bombardeada	Capitï¿½n Antero Fernï¿½ndez Vargas, primer mï¿½rtir oficial	Fidel a bordo del caï¿½ï¿½n autopropulsado SAU-100	Atenciï¿½n sanitaria a los invasores heridos	Tanque T-34 de las FAR, averiado a un costado de la carretera de Playa Larga	Fidel dialoga con los milicianos durante la invasiï¿½n a Playa Girï¿½n	Fidel desciende de un tanque T-34/85 soviï¿½tico	Artilleros	Jï¿½venes artilleros	Fidel  llegada al teatro de operaciones	Mercenarios de la brigada 2506	Bombardeo del 15 de abril	Playa Girï¿½n	Playa Girï¿½n	Playa Girï¿½n
Creator	Ernesto Fernï¿½ndez	Ernesto Fernï¿½ndez	Ernesto Fernï¿½ndez	Sergio Canales	Lothar Graff	Lothar Graff	Joaquï¿½n Viï¿½as	Tirso Martï¿½nez	Lothar Graff	Sergio Canales	Miguel Joaquin	Lothar Graff	Servando Cabrera Moreno	Servando Cabrera Moreno	Raï¿½l Martï¿½nez	Mariano Rodrï¿½guez
Art Work Date	17/04/1961	1961/04	17/04/1961	1961/04	1961/04	1961/04	17/04/1961	19/04/1961	1961/04	1961/04	19/04/1961	19/04/1961	1961	1961	1962	1963
depicts	Fidel Castro and milicianos	Milicianos	Captain Antero Fernï¿½ndez Varga	Fidel Castro and milicianos	Miembro de Brigada 2506	_	Fidel Castro and milicianos	Fidel Castro and milicianos	Milicianos	Milicianos	Fidel Castro and milicianos	Brigada 2506				
has Type	Photo	Photo	Photo	Photo	Photo	Photo	Photo	Photo	Photo	Photo	Photo	Photo	Painting	Painting	Painting	Painting
has Support	Hard format	Hard format	Hard format	Hard format	Hard format	Hard format	Hard format	Hard format	Hard format	Hard format	Hard format	Hard format	Hard format	Hard format	Hard format	Hard format
has Dimension	19,02  x 23,5 cm	32,49 x 20,85 cm	13,62 x 20,85 cm	16,7 x 10,2 cm	10,11 x 14,86 cm	13,90 x 8,96 cm	20,46 x 12,35 cm	20,46 x 15,35 cm	14,17 x 10,17 cm	16,67 x 10,17 cm	20,46 x 19,01 cm	15,82 x 10,14 cm	72 x 131 cm	72 x 130,5 cm	185 x 125 cm	114.5 x 126.5 cm
has Tonality	Black and White	Black and White	Black and White	Black and White	Black and White	Black and White	Black and White	Black and White	Black and White	Black and White	Black and White	Black and White	Cold tone 	Warm tone 	Warm tone 	Cold tone 
assigned	Reportage photography	Reportage photography	Reportage photography	Reportage photography	Reportage photography	Reportage photography	Reportage photography	Reportage photography	Reportage photography	Reportage photography	Reportage photography	Reportage photography	Realism	Abstract	Abstract	Abstract
used General Technique	Composition technique	Composition technique	Composition technique	Composition technique	Composition technique	Composition technique	Composition technique	Composition technique	Composition technique	Composition technique	Composition technique	Composition technique	Oil on canvas	Oil on canvas	Oil on canvas	Oil on canvas
